row_index,length,pct_A,pct_T,pct_C,pct_G,first_50_pA,first_50_pT,first_50_pC,first_50_pG,last_50_pA,last_50_pT,last_50_pC,last_50_pG
1846,288.0,0.2743055555555556,0.2743055555555556,0.2465277777777778,0.2048611111111111,0.3,0.24,0.26,0.2,0.34,0.22,0.16,0.28
1847,295.0,0.13898305084745763,0.2135593220338983,0.3389830508474576,0.30847457627118646,0.16,0.16,0.32,0.36,0.2,0.16,0.18,0.46
1848,295.0,0.29491525423728815,0.3050847457627119,0.2440677966101695,0.15593220338983052,0.32,0.32,0.18,0.18,0.38,0.24,0.22,0.16
1849,104.0,0.3076923076923077,0.28846153846153844,0.18269230769230768,0.22115384615384615,0.34,0.26,0.18,0.22,0.28,0.34,0.16,0.22
1850,154.0,0.24025974025974026,0.2532467532467532,0.24025974025974026,0.2662337662337662,0.28,0.24,0.22,0.26,0.24,0.3,0.16,0.3
1851,66.0,0.19696969696969696,0.24242424242424243,0.30303030303030304,0.25757575757575757,0.24,0.22,0.26,0.28,0.18,0.24,0.34,0.24
1852,701.0,0.275320970042796,0.29529243937232524,0.20970042796005706,0.21968616262482168,0.16,0.24,0.24,0.36,0.3,0.38,0.14,0.18
1853,388.0,0.20103092783505155,0.25,0.2422680412371134,0.30670103092783507,0.16,0.34,0.18,0.32,0.14,0.38,0.3,0.18
1854,160.0,0.28125,0.23125,0.2375,0.25,0.32,0.18,0.22,0.28,0.32,0.26,0.12,0.3
1855,94.0,0.2872340425531915,0.39361702127659576,0.19148936170212766,0.1276595744680851,0.3,0.4,0.2,0.1,0.24,0.42,0.2,0.14
1856,239.0,0.2175732217573222,0.23430962343096234,0.28451882845188287,0.26359832635983266,0.22,0.24,0.22,0.32,0.32,0.2,0.34,0.14
1857,743.0,0.27456258411843876,0.34589502018842533,0.19919246298788695,0.180349932705249,0.26,0.3,0.16,0.28,0.2,0.64,0.08,0.08
1858,392.0,0.24489795918367346,0.16071428571428573,0.34183673469387754,0.25255102040816324,0.24,0.12,0.38,0.26,0.22,0.18,0.34,0.26
1859,944.0,0.24046610169491525,0.350635593220339,0.22033898305084745,0.1885593220338983,0.28,0.3,0.24,0.18,0.34,0.3,0.16,0.2
1860,119.0,0.19327731092436976,0.2184873949579832,0.2689075630252101,0.31932773109243695,0.2,0.2,0.38,0.22,0.18,0.26,0.16,0.4
